Sample,abstract,source_llm,story_id,story_text,review_criterion,human_label,auto_label,annotator_decision,review_flag,actual_flag,row_type,partner_story_ids,human_partner_label,ensemble_confidence,fired_models,llm_justification
original,A1,Gemini_1.5_flash,US5,"As an environmentalist, I want AVs that are programmed for fuel efficiency and can reduce overall emissions and pollution in our cities.",conflict_free,0,1,1.0,REVISED:missed,REVISED:missed,FLAGGED,"US1, US6",,0.667,Son+DSv3,"[Sonnet] [cross_cutting_concern] US1 prioritizes reacting faster than humans in emergencies (performance/speed optimization), which may require aggressive driving maneuvers or suboptimal fuel consumption patterns. US5 requires programming AVs for fuel efficiency, which may conflict with emergency response behaviors that prioritize speed over efficiency. (wi || [DeepSeek-V3.2] [cross_cutting_concern] US1's goal of fast reaction in emergencies might require high-performance, energy-intensive computing and rapid acceleration/deceleration, which could conflict with US5's goal of optimizing for fuel efficiency and reducing emissions. This is a 'Performance optimization vs. Environmental goals' conflict. (with ['US1'])"
original,A1,Gemini_1.5_flash,US6,"As a busy professional, I want an AV that can take me to meetings or appointments while I work on other tasks, saving me valuable time.",conflict_free,0,1,0.0,REVISED:missed,IGNORE,PARTNER,US5,,0.333,Son,"[Sonnet] [cross_cutting_concern] US6 requires the AV to take a busy professional to meetings efficiently (implying speed and convenience), while US5 requires programming for fuel efficiency. Optimizing for travel time and convenience may conflict with fuel-efficient routing that could take longer or slower routes. (with ['US5'])"
original,A1,Gemini_1.5_flash,US7,"As a safety advocate, I want clear regulations and safety standards for AVs to ensure the well-being of all road users.",conflict_free,0,1,1.0,REVISED:missed,REVISED:missed,FLAGGED,"US1, US3",,1.0,GPT120b+Son+DSv3,"[GPT-120b] [cross_cutting_concern] US1 wants the vehicle to react faster than humans in emergencies (performance optimisation), whereas US7 calls for clear regulations and safety standards that may limit the degree of autonomous, high‑speed decision‑making for safety compliance. This creates a potential conflict between speed and regulatory safety constraints || [Sonnet] [cross_cutting_concern] US3 focuses on innovation and development of advanced AI algorithms for autonomous driving decisions. US7 requires clear regulations and safety standards for AVs. Rapid innovation in AV capabilities (US3) may outpace or conflict with conservative regulatory compliance requirements (US7), creating tension between feature deve"
original,A1,Gemini_1.5_flash,US7,"As a safety advocate, I want clear regulations and safety standards for AVs to ensure the well-being of all road users.",conflict_free,0,1,0.0,REVISED:missed,REVISED:missed,PARTNER,US3,,1.0,GPT120b+Son+DSv3,"[Sonnet] [cross_cutting_concern] US3 focuses on innovation and development of advanced AI algorithms for autonomous driving decisions. US7 requires clear regulations and safety standards for AVs. Rapid innovation in AV capabilities (US3) may outpace or conflict with conservative regulatory compliance requirements (US7), creating tension between feature deve || [DeepSeek-V3.2] [cross_cutting_concern] US1 prioritizes AI-driven speed and autonomy ('react faster than humans') for safety, while US7 demands clear regulations and safety standards, which often involve compliance checks and human oversight that could slow down or restrict the AI's reaction time. This is a classic 'System autonomy vs. Safety controls' conflict. ("
original,A1,Gemini_1.5_flash,US8,"As a cybersecurity expert, I want AVs to be equipped with robust security measures to protect them from hacking and cyberattacks.",conflict_free,0,1,0.0,REVISED:missed,REVISED:missed,FLAGGED,"US3, US9",,0.667,Son+DSv3,"[Sonnet] [cross_cutting_concern] US3 focuses on developing AVs with advanced AI algorithms for autonomous decision-making (system autonomy). US8 requires robust security measures potentially including human oversight and control mechanisms to prevent hacking. Fully autonomous AI decision-making may conflict with security controls that require human interven || [DeepSeek-V3.2] [cross_cutting_concern] US8 requires robust security measures (e.g., continuous data collection for intrusion detection, system updates) which may necessitate extensive data collection. US9 demands user control and minimization of data collection for privacy. This is a 'Data collection vs. Privacy protection' conflict. (with ['US9'])"
original,A1,Gemini_1.5_flash,US8,"As a cybersecurity expert, I want AVs to be equipped with robust security measures to protect them from hacking and cyberattacks.",conflict_free,0,1,0.0,REVISED:missed,REVISED:missed,PARTNER,US3,,0.667,Son+DSv3,[Sonnet] [cross_cutting_concern] US3 focuses on developing AVs with advanced AI algorithms for autonomous decision-making (system autonomy). US8 requires robust security measures potentially including human oversight and control mechanisms to prevent hacking. Fully autonomous AI decision-making may conflict with security controls that require human interven
original,A1,Gemini_1.5_flash,US9,"As a data privacy advocate, I want control over the data collected by AVs and ensure it's used responsibly and securely.",conflict_free,1,1,1.0,REVISED:missed,OK,PARTNER,US8,,1.0,GPT120b+Son+DSv3,"[DeepSeek-V3.2] [cross_cutting_concern] US8 requires robust security measures (e.g., continuous data collection for intrusion detection, system updates) which may necessitate extensive data collection. US9 demands user control and minimization of data collection for privacy. This is a 'Data collection vs. Privacy protection' conflict. (with ['US8'])"
original,A1,Gemini_1.5_flash,US4,"As a blind or visually impaired person, I want an AV that can safely navigate me around town, giving me greater independence.",atomic,1,0,0.0,REVISED:false_alarm,REVISED:false_alarm,FLAGGED,,,1.0,,
original,A1,O1_mini,US8,"As a software engineer, I want the AV to efficiently process large-scale sensor data using AI and IoT, so that it makes informed decisions quickly.
",atomic,0,1,0.0,REVISED:missed,REVISED:missed,FLAGGED,,,1.0,GPT120b+DSv3,
original,A10,Gemini_1.5_flash,US3,"As a doctor treating patients with diabetes, I want a tool that can help me personalize insulin dosing recommendations based on real-time blood glucose predictions.",estimatable,0,1,0.0,IGNORE,IGNORE,FLAGGED,,,0.333,GPT120b,
original,A10,Gemini_1.5_flash,US8,"As a data privacy advocate, I want to be assured that the data collected by this model is used securely and responsibly, and that patients have control over their data.",estimatable,0,1,1.0,REVISED:missed,REVISED:missed,FLAGGED,,,0.667,DSTerm+GPT120b,
original,A10,Llama 3.1 70b,US9,"As a researcher, I want to improve the precision of the predictive model, so that I can increase the confidence of patients and healthcare professionals in the system.",conceptually_sound,0,1,0.0,REVISED:missed,REVISED:missed,FLAGGED,,,1.0,GPT120b+DSTerm,
original,A11,Llama 3.1 70b,US1,"As a researcher, I want to be able to train the digital twin model using paired data (digital templates and corresponding printed images) so that I can evaluate its performance in generating and predicting printed CDP.",unique,1,1,1.0,REVISED:missed,OK,PARTNER,US4,,0.667,Son+GPT120b,"[Sonnet] [overlapping ends] US1 covers training with paired data and US4 covers training with unpaired data — both target the same end goal (training the model for generating/predicting printed CDP). They differ only in the type of input data (paired vs. unpaired), making them feature variations with overlapping ends. (with ['US4']) || [GPT-120b] [sameMeansDifferentEnd] Both stories describe the same core activity (training the model) but pursue different rationales. (with ['US4'])"
original,A11,Llama 3.1 70b,US4,"As a user, I want to be able to provide unpaired data (digital templates and printed images without matching pairs) to the digital twin model so that I can still train and use the model for generating and predicting printed CDP.",unique,0,1,1.0,REVISED:missed,REVISED:missed,FLAGGED,US1,,0.667,Son+GPT120b,"[Sonnet] [overlapping ends] US1 covers training with paired data and US4 covers training with unpaired data — both target the same end goal (training the model for generating/predicting printed CDP). They differ only in the type of input data (paired vs. unpaired), making them feature variations with overlapping ends. (with ['US1']) || [GPT-120b] [sameMeansDifferentEnd] Both stories describe the same core activity (training the model) but pursue different rationales. (with ['US1'])"
original,A11,O1_mini,US1,"As a security engineer, I want to generate accurate printed CDP from digital templates, so that anti-counterfeiting features are reliably produced across various printing devices.",unique,1,1,1.0,REVISED:missed,OK,PARTNER,US7,,0.667,DSv3+GPT120b,"[GPT-120b] [overlapping ends] Ends of US1 and US9 overlap while means differ, indicating redundancy. (with ['US9']) | [purposeIsMeans] US7's end (optimizing for accurate CDP generation) matches the means of US1 (generate accurate printed CDP). (with ['US7'])"
original,A11,O1_mini,US1,"As a security engineer, I want to generate accurate printed CDP from digital templates, so that anti-counterfeiting features are reliably produced across various printing devices.",unique,1,1,0.0,REVISED:missed,OK,PARTNER,US9,,0.667,DSv3+GPT120b,"[GPT-120b] [overlapping ends] Ends of US1 and US9 overlap while means differ, indicating redundancy. (with ['US9']) | [purposeIsMeans] US7's end (optimizing for accurate CDP generation) matches the means of US1 (generate accurate printed CDP). (with ['US7'])"
original,A11,O1_mini,US4,"As a product manager, I want the digital twin architecture to be scalable and adaptable to multiple printing and imaging devices, so that it can be deployed in various practical setups without significant modifications.",unique,0,1,1.0,REVISED:missed,REVISED:missed,FLAGGED,US9,,1.0,Son+DSv3+GPT120b,[Sonnet] [semantic_duplicate] US4 ('scalable and adaptable to multiple printing and imaging devices') and US9 ('compatible with any type of printing and imaging devices') express the same core feature — device-agnostic compatibility — with different wording and different roles. The means and ends are semantically equivalent: both want the digital twin to wo || [DeepSeek-V3.2] [semantic_duplicate] Both stories have semantically equivalent means ('digital twin architecture to be scalable and adaptable to multiple printing and imaging devices' vs 'system to be compatible with any type of printing and imaging devices') and ends ('deployed in various practical setups without significant modifications' vs 'digital twin can be
original,A11,O1_mini,US4,"As a product manager, I want the digital twin architecture to be scalable and adaptable to multiple printing and imaging devices, so that it can be deployed in various practical setups without significant modifications.",unique,0,1,1.0,REVISED:missed,REVISED:missed,PARTNER,US9,,1.0,Son+DSv3+GPT120b,[Sonnet] [semantic_duplicate] US4 ('scalable and adaptable to multiple printing and imaging devices') and US9 ('compatible with any type of printing and imaging devices') express the same core feature — device-agnostic compatibility — with different wording and different roles. The means and ends are semantically equivalent: both want the digital twin to wo || [DeepSeek-V3.2] [semantic_duplicate] Both stories have semantically equivalent means ('digital twin architecture to be scalable and adaptable to multiple printing and imaging devices' vs 'system to be compatible with any type of printing and imaging devices') and ends ('deployed in various practical setups without significant modifications' vs 'digital twin can be
original,A11,O1_mini,US5,"As a data scientist, I want the model to extend architectures like pix2pix and CycleGAN for image-to-image translation, so that I can leverage proven techniques while enhancing CDP modeling capabilities.",unique,1,1,1.0,REVISED:missed,OK,PARTNER,US7,,0.667,Son+DSv3,[Sonnet] [purposeIsMeans] US5's end ('enhance CDP modeling capabilities') is essentially what US7's means achieves ('evaluate architectural factors to optimize the digital twin'). US7's evaluation activity is the mechanism by which US5's enhancement goal is realized. US5's rationale is partially served by US7's feature. (with ['US7'])
original,A11,O1_mini,US7,"As a researcher, I want to evaluate the influence of various architectural factors, metrics, and discriminators on system performance, so that I can optimize the digital twin for accurate CDP generation and prediction.",unique,0,1,1.0,REVISED:missed,REVISED:missed,FLAGGED,"US1, US5",,0.667,Son+GPT120b,[Sonnet] [purposeIsMeans] US5's end ('enhance CDP modeling capabilities') is essentially what US7's means achieves ('evaluate architectural factors to optimize the digital twin'). US7's evaluation activity is the mechanism by which US5's enhancement goal is realized. US5's rationale is partially served by US7's feature. (with ['US5']) || [GPT-120b] [purposeIsMeans] US7's end (optimizing for accurate CDP generation) matches the means of US1 (generate accurate printed CDP). (with ['US1'])
original,A11,O1_mini,US9,"As a technical lead, I want the system to be compatible with any type of printing and imaging devices, so that the digital twin can be universally applied across different technologies and platforms.",unique,0,1,1.0,REVISED:missed,REVISED:missed,FLAGGED,"US1, US4",,1.0,Son+DSv3+GPT120b,[Sonnet] [semantic_duplicate] US4 ('scalable and adaptable to multiple printing and imaging devices') and US9 ('compatible with any type of printing and imaging devices') express the same core feature — device-agnostic compatibility — with different wording and different roles. The means and ends are semantically equivalent: both want the digital twin to wo || [DeepSeek-V3.2] [semantic_duplicate] Both stories have semantically equivalent means ('digital twin architecture to be scalable and adaptable to multiple printing and imaging devices' vs 'system to be compatible with any type of printing and imaging devices') and ends ('deployed in various practical setups without significant modifications' vs 'digital twin can be
original,A11,O1_mini,US9,"As a technical lead, I want the system to be compatible with any type of printing and imaging devices, so that the digital twin can be universally applied across different technologies and platforms.",unique,0,1,1.0,REVISED:missed,REVISED:missed,PARTNER,US4,,1.0,Son+DSv3+GPT120b,[Sonnet] [semantic_duplicate] US4 ('scalable and adaptable to multiple printing and imaging devices') and US9 ('compatible with any type of printing and imaging devices') express the same core feature — device-agnostic compatibility — with different wording and different roles. The means and ends are semantically equivalent: both want the digital twin to wo || [DeepSeek-V3.2] [semantic_duplicate] Both stories have semantically equivalent means ('digital twin architecture to be scalable and adaptable to multiple printing and imaging devices' vs 'system to be compatible with any type of printing and imaging devices') and ends ('deployed in various practical setups without significant modifications' vs 'digital twin can be
original,A11,Gemini_1.5_flash,US4,"As a researcher, I want to explore the impact of different printing and imaging devices on CDP patterns using the platform's image-to-image translation capabilities.",uniform,0,1,0.0,REVISED:missed,REVISED:missed,FLAGGED,,,1.0,GPT120b,
original,A11,Llama 3.1 70b,US1,"As a researcher, I want to be able to train the digital twin model using paired data (digital templates and corresponding printed images) so that I can evaluate its performance in generating and predicting printed CDP.",unambiguous,0,1,0.0,REVISED:missed,REVISED:missed,FLAGGED,,,1.0,DSTerm,
original,A11,O1_mini,US8,"As an anti-counterfeiting specialist, I want the digital twin to accurately predict printed CDP back to their digital versions, so that I can effectively verify the authenticity of printed materials.",unambiguous,0,1,1.0,REVISED:missed,REVISED:missed,FLAGGED,,,1.0,DSTerm,
original,A11,O1_mini,US6,"As a system architect, I want the digital twin to handle hybrid datasets combining paired and unpaired data, so that the model training process is more robust and inclusive of diverse data sources.",problem_oriented,1,0,0.0,REVISED:false_alarm,REVISED:false_alarm,FLAGGED,,,1.0,,
original,A11,O1_mini,US3,"As a machine learning engineer, I want the digital twin to use variational approximations of mutual information, so that the encoder and decoder efficiently exchange information within the model.",minimal,1,0,0.0,REVISED:false_alarm,REVISED:false_alarm,FLAGGED,,,1.0,,
original,A11,Llama 3.1 70b,US4,"As a user, I want to be able to provide unpaired data (digital templates and printed images without matching pairs) to the digital twin model so that I can still train and use the model for generating and predicting printed CDP.",estimatable,1,0,0.0,REVISED:false_alarm,REVISED:false_alarm,FLAGGED,,,1.0,,
original,A12,Llama 3.1 70b,US4,"As a data analyst, I want to merge open-access shooting incident data with population characteristics derived from the American Community Survey to create a comprehensive dataset for building the FVVI model.",unambiguous,0,1,0.0,REVISED:missed,REVISED:missed,FLAGGED,,,1.0,DSTerm,
original,A12,Gemini_1.5_flash,US9,"As a community organizer, I want the FVVI to be accompanied by resources and guidance for implementing effective prevention programs in high-risk communities.",problem_oriented,0,1,0.0,NEEDS_REVIEW,NEEDS_REVIEW,FLAGGED,,,0.5,GPT120b,
original,A12,Llama 3.1 70b,US1,"As a public health official, I want to access accurate firearm assault data to inform prevention strategies and reduce firearm violence in my community.",conceptually_sound,1,0,0.0,REVISED:false_alarm,REVISED:false_alarm,FLAGGED,,,1.0,,
original,A12,O1_mini,US5,"As a researcher, I want the FVVI to fill data gaps in firearm assault information, so that I can conduct more comprehensive studies on violence prevention.",conceptually_sound,1,0,0.0,NEEDS_REVIEW,NEEDS_REVIEW,FLAGGED,,,0.5,,
original,A12,Llama 3.1 70b,US5,"As a machine learning engineer, I want to use XGBoost, a decision tree-based machine-learning algorithm, to construct the FVVI model and predict shooting incident rates within urban census tracts.",atomic,0,1,0.0,REVISED:missed,REVISED:missed,FLAGGED,,,1.0,GPT120b+DSv3,
original,A13,O1_mini,US6,"As a pharmacologist, I want the prediction framework to generalize to other diseases, so that I can apply the same methodology to discover drug combinations for various complex conditions.",uniform,0,1,0.0,REVISED:missed,REVISED:missed,FLAGGED,,,1.0,GPT120b,
original,A13,Gemini_1.5_flash,US2,"As a pharmaceutical company scientist, I want the platform to predict potential combinations of existing drugs that may have a synergistic effect in treating AD.",unambiguous,0,1,0.0,REVISED:missed,REVISED:missed,FLAGGED,,,1.0,DSTerm,
original,A13,O1_mini,US3,"As a data scientist, I want to build and analyze a drug-target pair (DTP) network using multiple drug and target features, so that I can uncover meaningful associations within the AD disease network.",minimal,1,0,1.0,REVISED:false_alarm,REVISED:false_alarm,FLAGGED,,,1.0,,
original,A13,Llama 3.1 70b,US1,"As a researcher, I want to develop a novel prediction framework to identify potential repurposed drug therapies for Alzheimer's disease (AD), so that I can contribute to the discovery of effective treatments for this complex disease.",independent,0,0,0.0,REVISED:false_alarm,OK,PARTNER,US3,,1.0,,
original,A13,Llama 3.1 70b,US10,"As a healthcare policymaker, I want to use the AI-DrugNet framework to inform drug development priorities and resource allocation for AD and other complex diseases, so that I can ensure that patients have access to effective treatments.",independent,1,1,1.0,REVISED:false_alarm,OK,PARTNER,US3,,1.0,Son+GPT120b+DSv3+DSTerm,
original,A13,Llama 3.1 70b,US2,"As a pharmaceutical company, I want to use a deep learning-based framework to identify potential drug combinations for AD, so that I can accelerate the development of therapeutic efficacy for this disease.",independent,0,0,0.0,REVISED:false_alarm,OK,PARTNER,US3,,1.0,,
original,A13,Llama 3.1 70b,US3,"As a neurologist, I want to access a database of drug-target pair networks that incorporate multiple drug features and target features, so that I can better understand the complex mechanisms behind AD and identify potential treatment options.",independent,1,0,0.0,REVISED:false_alarm,REVISED:false_alarm,FLAGGED,,,1.0,,
original,A13,Llama 3.1 70b,US4,"As a data scientist, I want to generate integrated features for each drug-combination by incorporating drug-target features and relationship information between drug-drug, target-target, and drug-target, so that I can train a robust AI model for drug discovery.",independent,0,1,1.0,REVISED:false_alarm,REVISED:missed,PARTNER,US3,,0.75,Son+DSv3+DSTerm,
original,A13,Llama 3.1 70b,US5,"As a medical researcher, I want to use an AI-based Drug discovery Network (AI-DrugNet) to identify potential repurposed and combination drug options for AD, so that I can validate their efficacy in clinical trials.",independent,1,1,1.0,REVISED:false_alarm,OK,PARTNER,US3,,1.0,Son+GPT120b+DSv3+DSTerm,
original,A13,Llama 3.1 70b,US6,"As a clinician, I want to access a list of predicted potential drug therapies for AD, ranked by their likelihood of success, so that I can discuss treatment options with my patients and their families.",independent,1,1,1.0,REVISED:false_alarm,OK,PARTNER,US3,,1.0,Son+GPT120b+DSv3+DSTerm,
original,A13,Llama 3.1 70b,US7,"As a researcher, I want to apply the AI-DrugNet framework to identify potential drug combinations for other diseases beyond AD, so that I can explore its broad applicability and generalizability.",independent,1,1,1.0,REVISED:false_alarm,OK,PARTNER,US3,,1.0,Son+GPT120b+DSv3+DSTerm,
